head,type,value,tail_pos,tail_neg
187,1,5,17,651
187,2,138,127,1616
187,3,282,127,123
176,1,9,222,1515
176,2,98,385,1305
176,3,566,195,369
181,1,3,62,1424
181,3,585,172,324
174,1,1,204,388
174,2,84,210,1017
174,3,193,50,803
50,1,12,173,466
50,3,193,210,765
79,1,5,127,1201
79,3,193,210,82
510,1,3,181,230
510,3,118,651,1194
403,1,3,117,109
568,1,1,174,806
195,1,3,121,963
195,2,98,176,912
195,3,342,385,1484
651,1,6,515,1024
651,3,420,173,766
228,1,3,172,509
385,1,3,403,91
385,2,98,96,192
385,3,535,290,1422
127,1,6,648,570
127,2,138,187,1297
127,3,282,187,1405
117,1,1,510,1378
117,3,416,238,1539
515,1,6,523,1446
515,2,56,684,1199
184,1,2,502,942
184,2,185,201,251
184,3,615,201,764
121,1,1,204,907
121,2,61,62,378
62,1,3,172,839
62,2,61,121,1601
222,1,9,258,697
161,1,6,85,204
68,1,6,211,210
684,1,3,117,1455
684,2,56,515,537
684,3,14,4,1466
268,1,2,114,1152
268,2,44,42,460
268,3,787,246,738
886,1,2,409,161
886,2,381,475,1498
886,3,813,1132,20
324,1,4,1109,1264
324,3,183,92,561
258,1,6,64,720
258,2,68,69,245
294,1,12,584,1397
294,2,66,411,992
294,3,420,651,1490
310,1,4,7,433
310,2,138,180,973
772,1,6,655,548
856,1,2,1017,772
856,3,712,676,288
721,1,2,168,1314
721,2,44,246,695
721,3,1223,433,1645
42,1,2,209,1200
42,2,44,721,1258
317,1,6,241,218
317,2,268,509,583
317,3,697,241,1199
1045,1,6,458,473
743,1,3,241,762
68,1,6,559,250
89,1,4,673,787
89,2,91,924,1655
89,3,193,181,1067
237,1,8,815,1105
237,3,284,77,558
56,1,6,772,342
56,2,5,156,235
56,3,12,866,606
3,1,2,109,840
3,2,5,156,1625
92,1,5,886,760
92,2,34,31,764
92,3,183,1098,913
156,1,4,744,753
156,2,5,56,139
156,3,213,56,1325
7,1,4,673,838
7,2,9,168,1094
7,3,25,240,996
537,1,6,157,706
537,3,1473,655,1102
122,1,6,527,1664
122,3,264,651,1641
780,1,2,237,1442
780,2,334,410,397
780,3,1946,762,1261
241,1,6,1048,1177
241,3,697,317,1221
318,1,6,1150,352
318,2,84,82,913
318,3,944,744,1608
114,1,6,1132,1587
214,1,6,949,1337
215,1,6,521,364
101,1,12,294,1113
1428,1,6,22,1179
1428,2,660,955,1091
31,1,6,509,629
31,2,34,92,739
31,3,118,735,382
77,1,6,628,864
77,3,284,237,1486
475,1,6,216,514
475,2,381,886,367
941,1,6,357,670
69,1,6,157,1604
69,2,68,258,606
69,3,0,1,87
433,1,2,762,1045
433,3,712,676,307
179,1,6,214,710
179,2,150,135,122
660,1,6,631,747
660,2,488,754,1425
660,3,869,278,1317
754,1,6,528,1072
754,2,488,660,263
754,3,1582,739,558
739,1,2,369,1545
739,3,1582,754,846
381,1,2,815,1065
70,1,8,411,627
70,2,69,707,1651
157,1,6,724,588
157,2,55,458,1512
157,3,437,631,879
9,1,6,584,1419
1150,1,6,268,424
1150,3,1015,871,327
276,1,8,662,145
276,3,416,238,1231
100,1,6,52,384
100,2,83,238,473
100,3,357,1017,45
508,1,6,31,1617
508,2,188,191,893
508,3,204,410,102
181,1,1,173,1409
181,3,192,50,1318
126,1,6,28,1676
246,1,6,237,540
246,2,44,268,609
246,3,789,268,59
287,1,6,631,1509
287,3,877,281,1377
151,1,1,240,851
628,1,4,234,1655
628,3,592,521,1544
50,1,1,174,638
50,3,193,89,170
13,1,2,1028,1371
1,1,2,886,1483
1,3,0,69,1041
458,1,6,197,1084
458,2,55,157,558
458,3,417,193,1640
924,1,6,114,746
924,2,91,183,204
924,3,1429,521,634
1017,1,6,762,984
1017,3,357,100,433
762,1,2,290,1386
762,3,1860,1467,1044
290,1,2,856,593
290,3,535,153,455
596,1,6,197,916
596,3,1597,739,1097
20,1,6,559,1032
109,1,9,746,789
411,1,2,240,1545
411,2,66,294,1666
763,1,2,109,574
763,2,367,456,478
1028,1,8,631,1664
1028,2,703,1119,249
676,1,16,527,163
676,2,54,52,501
676,3,697,317,735
240,1,2,204,1651
240,3,25,7,877
249,1,2,196,221
871,1,2,154,46
871,3,1015,1150,111
281,1,5,186,1383
281,3,877,287,1666
866,1,6,381,222
866,3,666,953,37
1132,1,2,1,1561
1132,3,713,217,659
764,1,8,662,1229
764,3,1950,1098,216
815,1,6,1017,748
278,1,6,100,940
278,3,869,660,765
409,1,6,866,682
409,2,138,217,24
409,3,96,95,439
369,1,2,3,444
456,1,3,31,1327
456,2,367,763,361
196,1,2,1,770
196,3,647,955,902
58,1,6,86,1032
58,3,149,318,411
173,1,1,655,675
173,2,181,209,138
173,3,420,294,1247
209,1,2,845,221
209,2,181,216,651
357,1,6,1119,374
357,2,188,191,231
1467,1,6,697,756
1467,3,1860,762,929
1098,1,2,723,917
1098,3,183,92,397
64,1,6,197,1251
64,3,207,651,1036
724,1,8,411,1200
193,1,6,310,1655
193,3,641,265,590
22,1,6,276,209
172,1,3,31,1458
172,3,585,181,149
186,1,2,196,981
735,1,6,77,1078
735,3,0,1,580
191,1,13,458,144
191,2,188,508,81
65,1,6,953,1264
65,3,244,287,1125
655,1,6,1048,610
655,2,181,173,979
655,3,1473,537,675
204,1,9,109,675
204,2,68,69,1357
204,3,671,1119,1455
197,1,2,739,1353
216,1,2,381,293
216,2,181,209,1200
216,3,194,50,6
188,1,6,278,142
188,2,150,135,52
188,3,627,949,1372
86,1,6,458,132
86,3,311,662,800
174,1,1,234,1308
174,2,84,318,574
174,3,193,181,956
180,1,6,941,1251
180,2,138,409,709
509,1,6,237,1228
509,2,268,317,653
509,3,697,676,788
183,1,9,135,791
183,2,91,89,1498
183,3,16,1109,1447
651,1,13,508,359
651,3,420,294,1032
153,1,5,631,1334
153,3,534,168,523
168,1,2,204,1237
168,2,168,154,1547
168,3,538,154,1294
238,1,2,1132,670
238,2,83,100,63
238,3,416,276,1652
527,1,6,528,288
527,3,316,318,1311
428,1,6,196,886
746,1,2,26,439
746,3,110,92,1023
553,1,6,317,1298
553,3,713,537,1271
707,1,6,310,784
707,2,69,70,1306
707,3,453,631,57
169,1,2,70,1551
26,1,6,276,444
26,2,29,1048,890
26,3,100,1048,23
208,1,2,845,418
28,1,6,631,1614
28,3,0,69,548
521,1,6,31,722
521,3,592,628,591
154,1,2,780,1024
154,2,168,168,895
154,3,539,168,708
171,1,5,64,720
95,1,2,941,322
95,3,96,409,463
629,1,2,723,379
135,1,1,172,100
135,2,150,179,1625
52,1,6,955,1589
52,2,54,676,1290
528,1,6,724,623
528,3,702,276,180
662,1,12,173,343
662,3,311,86,393
652,1,6,193,1028
652,3,711,217,1447
1048,1,8,69,1449
1048,2,29,26,361
1048,3,100,26,1658
234,1,6,660,121
234,2,84,174,1129
234,3,56,652,1506
410,1,2,268,181
410,2,334,780,1047
410,3,204,508,444
955,1,8,268,524
955,2,660,1428,1681
955,3,647,196,1189
584,1,6,162,798
265,1,1,181,134
265,3,641,193,471
845,1,2,1028,589
673,1,5,631,813
673,3,592,628,1002
82,1,4,31,895
82,2,84,318,1157
82,3,296,265,561
200,1,6,70,254
200,2,150,179,104
217,1,15,369,1244
217,2,138,310,461
217,3,713,1132,55
631,1,8,815,230
631,2,430,744,290
631,3,453,707,628
747,1,20,114,177
949,1,8,955,687
949,3,627,188,983
71,1,1,164,1651
71,3,266,596,1137
744,1,4,122,882
744,2,430,559,54
744,3,812,739,1404
162,1,6,521,413
1119,1,6,215,1657
1119,2,703,1028,479
1119,3,671,204,211
710,1,8,70,1629
1109,1,6,200,755
1109,3,316,527,284
723,1,2,52,636
723,3,1029,660,1316
559,1,6,1045,476
559,2,430,631,1560
559,3,329,92,1308
164,1,1,234,1093
164,3,417,193,473
609,1,2,13,30
609,3,531,287,1594
708,1,6,509,792
650,1,12,294,792
697,1,6,164,976
697,3,244,287,1206
953,1,6,214,725
953,3,220,58,814
310,1,6,282,1659
310,2,138,187,466
310,3,860,273,958
269,1,6,357,884
302,1,5,187,606
302,3,208,282,43
137,1,6,628,1079
628,1,5,23,622
628,3,592,273,374
273,1,6,772,1670
273,3,592,628,1368
696,1,6,310,1040
696,3,282,127,648
980,1,6,137,298
980,3,714,218,1133
121,1,3,174,966
741,1,6,20,857
741,3,1283,628,1304
475,1,6,127,448
475,2,381,1073,865
475,3,1324,1073,1179
922,1,6,628,1084
93,1,6,462,1254
124,1,6,127,144
508,1,6,847,1084
508,2,188,357,151
762,1,6,980,1072
762,3,838,741,368
279,1,6,628,721
847,1,6,772,833
952,1,2,8,838
1067,1,5,23,451
282,1,5,79,778
282,3,208,302,565
20,1,6,628,886
117,1,3,176,406
117,3,415,431,804
192,1,6,100,1056
192,2,26,23,1189
192,3,592,628,1459
174,1,1,234,888
174,2,84,234,972
174,3,193,79,1089
317,1,13,558,1587
558,1,5,302,1175
187,1,5,23,862
187,2,138,310,1201
187,3,592,218,923
176,1,1,174,847
176,3,16,183,245
48,1,6,696,682
22,1,6,741,1219
772,1,6,187,1322
172,1,1,431,27
172,3,193,79,242
79,1,6,847,1588
79,3,193,172,1534
462,1,6,192,493
23,1,6,980,1162
23,2,26,673,486
11,1,6,558,1629
32,1,2,8,373
654,1,6,48,412
98,1,5,642,1400
98,2,100,657,547
56,1,5,9,193
185,1,7,654,565
185,2,186,443,1403
657,1,6,847,1393
657,2,100,98,1211
183,1,15,443,5
183,3,16,176,730
228,1,1,234,337
228,3,741,229,1143
1073,1,5,302,379
1073,2,381,475,1018
1073,3,1324,475,562
684,1,6,654,685
431,1,3,176,1002
431,3,415,117,1171
673,1,5,628,290
673,2,26,23,748
673,3,714,218,133
466,1,6,443,335
466,3,416,117,75
443,1,6,357,1550
443,2,186,185,1677
218,1,5,628,1144
218,2,26,192,436
218,3,67,673,285
642,1,6,11,764
642,3,794,696,1262
33,1,3,431,1507
229,1,1,121,945
229,3,744,228,1180
127,1,6,762,1014
127,2,138,187,544
127,3,282,273,1362
479,1,7,7,939
479,2,186,185,1471
100,1,6,443,34
8,1,6,657,406
234,1,4,33,455
234,2,84,174,86
7,1,7,443,1137
12,1,5,1067,474
9,1,5,23,688
357,1,6,9,825
357,2,188,508,1635
300,1,6,160,379
300,2,56,684,368
300,3,193,181,1115
286,1,8,129,403
286,3,227,60,423
242,1,6,300,1031
690,1,6,663,1204
302,1,5,153,199
302,3,911,382,523
904,1,6,638,850
305,1,6,207,1342
305,2,47,865,37
305,3,917,865,1083
268,1,6,196,95
268,2,44,246,571
268,3,786,246,135
272,1,6,300,833
272,3,787,246,556
269,1,2,242,1306
327,1,6,318,760
327,3,592,187,1481
751,1,3,50,553
751,3,591,175,640
311,1,6,684,546
289,1,6,287,902
289,3,591,751,469
258,1,9,195,363
258,3,271,98,1029
347,1,2,196,426
347,3,592,327,430
748,1,8,512,1318
315,1,4,654,1107
315,2,14,12,788
315,3,38,1101,1156
338,1,2,16,1467
338,3,263,71,1193
251,1,2,474,458
50,1,12,81,338
50,3,193,174,1436
181,1,1,249,385
181,3,193,89,823
246,1,2,61,1086
246,2,44,268,1250
246,3,787,272,1169
298,1,3,181,446
298,3,315,305,65
249,1,2,131,879
127,1,5,160,381
127,2,138,187,277
127,3,282,187,450
511,1,1,50,1490
511,2,192,199,693
511,3,656,199,1608
318,1,6,865,550
318,2,84,423,920
318,3,316,527,255
98,1,6,71,414
98,2,100,735,1612
98,3,271,258,718
97,1,6,464,576
134,1,6,216,1498
174,1,1,751,517
174,2,84,210,368
174,3,193,50,925
963,1,6,83,132
963,3,730,223,816
154,1,2,249,1077
154,2,168,168,123
154,3,534,153,235
423,1,9,195,969
423,2,84,174,157
173,1,12,431,1004
173,2,181,209,700
170,1,6,528,266
166,1,6,269,4
166,2,174,165,743
166,3,569,165,1004
89,1,4,751,1454
89,2,91,183,1335
89,3,193,300,968
806,1,4,7,1391
480,1,3,471,85
480,2,186,479,337
480,3,1331,478,233
223,1,6,180,230
223,3,728,963,199
59,1,6,806,816
59,2,60,61,596
59,3,223,713,1087
464,1,2,14,334
1512,1,6,199,1498
198,1,6,317,590
947,1,6,59,209
484,1,7,134,35
484,2,385,530,685
484,3,861,486,330
474,1,2,268,744
474,2,150,135,1438
474,3,562,663,1652
14,1,6,483,1141
169,1,20,285,1678
169,2,176,408,1600
169,3,576,408,363
175,1,6,246,265
175,2,9,168,1227
175,3,592,187,921
12,1,5,171,989
12,2,14,315,1636
285,1,6,207,868
191,1,6,961,861
191,2,188,357,628
190,1,6,287,367
190,2,85,83,751
190,3,631,713,1521
178,1,6,12,1016
209,1,2,246,1399
209,2,181,173,541
129,1,5,127,1513
129,3,449,792,365
505,1,5,238,1443
505,2,186,479,945
195,1,3,176,1190
195,2,98,176,1505
195,3,566,176,1198
210,1,12,168,94
210,2,84,423,1205
210,3,193,50,78
483,1,11,180,1090
483,3,861,484,1535
156,1,4,327,287
156,3,66,327,1556
427,1,6,631,181
713,1,6,357,33
713,3,223,59,817
168,1,1,135,825
168,2,168,154,1335
168,3,534,154,785
153,1,5,171,422
153,3,536,305,60
1,1,2,268,1394
1,3,0,735,625
239,1,5,505,905
165,1,6,83,1617
165,2,174,166,1448
165,3,510,207,169
187,1,6,464,373
187,2,138,180,153
187,3,592,287,1619
135,1,9,298,836
135,2,150,474,373
408,1,2,610,1325
408,2,176,169,1534
408,3,576,169,1214
357,1,6,318,438
357,2,188,191,1619
527,1,6,654,497
527,3,316,318,1386
923,1,6,713,1000
530,1,1,50,1290
530,2,385,484,905
530,3,415,210,360
171,1,2,478,195
45,1,6,160,751
45,2,47,865,821
143,1,6,462,438
143,3,171,530,644
478,1,8,748,427
478,3,1331,480,933
479,1,8,478,1559
479,2,186,480,1437
479,3,477,478,70
189,1,1,97,897
189,2,176,408,77
189,3,576,408,1408
81,1,2,42,462
81,2,82,100,557
81,3,188,64,1215
845,1,6,631,834
61,1,6,427,1322
61,2,60,59,813
528,1,6,287,1668
528,3,1064,684,1067
650,1,6,735,99
64,1,6,60,257
64,3,207,203,209
792,1,2,16,1607
792,2,15,13,650
792,3,449,129,282
961,1,6,806,75
131,1,6,60,743
131,3,456,486,1274
83,1,6,170,710
83,2,85,190,898
582,1,6,61,403
582,3,17,238,1067
462,1,8,268,774
512,1,6,170,1007
216,1,6,166,983
216,2,181,209,1091
216,3,194,50,1468
486,1,2,268,512
486,3,861,483,1510
1101,1,2,845,491
1101,3,38,315,1281
865,1,6,61,906
865,2,47,305,320
865,3,917,305,137
663,1,2,268,519
663,2,344,428,1277
663,3,562,474,1435
684,1,6,302,1414
684,2,56,300,829
684,3,598,203,434
48,1,6,684,892
238,1,5,198,748
238,2,82,100,40
238,3,416,298,1226
382,1,2,478,148
382,3,911,302,777
100,1,5,638,1273
100,2,82,81,1644
471,1,6,198,1016
471,3,189,216,1372
71,1,6,246,902
71,3,263,338,1672
202,1,8,631,559
317,1,6,166,432
317,3,312,86,32
172,1,1,751,834
172,3,192,181,1105
86,1,6,251,1560
86,3,312,317,861
1104,1,2,486,308
199,1,6,654,173
199,2,192,511,979
199,3,656,511,1086
431,1,12,202,1278
431,3,415,210,884
282,1,6,71,779
282,3,208,302,1010
180,1,6,428,250
180,2,138,127,770
180,3,443,127,758
176,1,9,423,525
176,2,98,195,329
176,3,566,195,1011
856,1,6,529,682
203,1,6,196,578
203,3,598,684,1258
207,1,13,511,535
207,3,510,165,87
186,1,2,13,1467
1485,1,6,486,1457
428,1,8,86,930
428,2,344,663,1423
654,1,6,190,1502
184,1,2,246,1405
184,2,185,201,323
184,3,615,201,1062
7,1,4,156,645
7,2,9,175,1426
160,1,5,806,97
160,3,282,127,1502
655,1,6,246,820
655,2,181,216,1022
13,1,8,512,1664
13,2,15,792,730
201,1,2,486,141
201,2,185,184,243
201,3,615,184,47
183,1,9,298,811
183,2,91,89,1173
183,3,16,865,117
631,1,8,483,1089
212,1,6,1512,1331
212,3,697,317,1441
602,1,6,61,885
602,2,458,610,197
602,3,1610,610,869
16,1,2,610,914
529,1,6,166,109
60,1,6,127,1034
60,2,60,59,462
60,3,227,286,894
287,1,6,286,84
287,3,592,187,474
196,1,6,246,235
610,1,2,249,1309
610,2,458,602,13
610,3,1610,602,620
735,1,6,59,478
735,2,100,98,587
735,3,118,471,400
638,1,6,100,1028
638,3,510,207,836
42,1,2,196,917
42,2,44,268,21
242,1,6,199,546
269,1,2,47,17
302,1,6,79,1331
306,1,2,461,1083
303,1,6,496,208
303,2,257,297,19
303,3,906,297,397
304,1,6,221,1656
304,2,260,500,1047
304,3,916,500,524
321,1,5,248,480
268,1,6,14,153
268,2,44,246,428
268,3,788,246,423
261,1,2,216,1056
182,1,6,522,908
182,2,26,192,24
182,3,592,187,427
248,1,2,131,82
408,1,2,514,925
408,2,176,189,572
408,3,576,169,528
275,1,6,499,1553
275,3,260,70,1202
127,1,5,100,1140
127,2,138,187,394
127,3,282,187,1027
297,1,6,197,622
297,2,257,303,919
297,3,904,303,864
100,1,6,275,742
100,2,82,238,1391
9,1,6,12,832
124,1,6,199,1402
124,2,136,463,1249
14,1,2,524,1370
515,1,1,520,1284
15,1,6,127,1228
137,1,6,508,1431
137,3,482,533,299
293,1,6,98,1142
293,2,69,70,1650
293,3,180,47,260
534,1,8,514,1595
536,1,6,125,779
221,1,6,534,228
285,1,6,56,1379
1,1,1,495,437
1,3,0,69,1527
475,1,6,522,142
246,1,6,178,1337
246,2,44,268,1618
246,3,789,268,371
508,1,13,14,1147
508,2,188,191,745
508,3,204,410,462
298,1,5,321,1464
298,3,12,125,1125
151,1,2,481,1228
125,1,6,308,398
125,3,12,56,977
410,1,2,209,483
410,3,204,508,230
533,1,6,187,1476
533,3,482,137,641
532,1,6,521,568
21,1,2,487,98
308,1,6,127,1081
308,3,66,461,1297
64,1,6,522,1105
524,1,2,209,674
514,1,8,246,327
514,2,15,517,283
514,3,531,187,1645
8,1,10,261,715
98,1,6,166,1499
427,1,5,435,1603
427,3,1205,487,834
135,1,1,21,783
135,2,150,474,357
79,1,6,469,433
79,3,193,89,941
223,1,6,261,1615
531,1,6,221,885
165,1,6,269,1618
165,2,174,166,143
165,3,569,166,1124
510,1,1,519,1336
178,1,5,435,887
487,1,2,522,1443
487,3,1205,427,1232
177,1,19,510,641
89,1,4,156,792
89,2,91,183,1005
89,3,193,174,145
136,1,2,151,1430
136,2,151,496,958
136,3,478,489,1048
50,1,1,204,350
50,3,193,174,428
527,1,13,191,873
527,3,316,87,1601
205,1,13,191,1210
205,3,674,507,1282
513,1,7,302,1146
192,1,6,261,163
192,2,26,182,625
192,3,592,187,1386
187,1,6,59,484
187,2,138,180,1636
187,3,592,182,659
462,1,8,481,549
481,1,6,59,1023
481,2,240,482,1254
481,3,553,469,1053
47,1,6,527,135
47,3,180,293,33
169,1,2,517,1651
169,2,176,408,885
169,3,576,408,159
520,1,6,192,1668
318,1,6,500,218
318,2,84,174,395
318,3,316,527,1370
174,1,1,515,195
174,2,84,318,243
174,3,193,89,1495
484,1,7,513,941
484,2,385,519,578
484,3,861,486,807
489,1,6,524,1322
489,2,186,185,839
489,3,478,483,6
71,1,6,528,1254
498,1,6,506,436
498,2,385,530,48
498,3,861,484,1670
12,1,7,490,910
479,1,4,490,1632
479,2,186,489,440
479,3,477,136,1464
497,1,2,242,714
497,2,391,494,1504
497,3,1331,494,1229
191,1,13,468,285
191,2,188,508,566
492,1,6,47,722
492,2,389,507,1496
492,3,1365,499,99
480,1,3,195,1486
480,2,186,185,357
480,3,1331,494,1589
496,1,6,98,306
496,2,151,136,67
496,3,477,479,673
211,1,2,497,542
469,1,2,261,1378
469,3,553,482,1253
512,1,8,131,552
504,1,13,508,1266
199,1,6,523,768
199,2,192,511,1412
199,3,657,511,373
197,1,6,275,1454
197,3,650,435,1319
525,1,5,238,401
525,2,391,497,1235
525,3,861,498,158
482,1,2,261,132
482,2,240,486,1092
482,3,553,469,892
530,1,1,304,887
530,2,385,519,1068
537,1,6,205,1322
69,1,8,490,121
69,2,68,204,1137
69,3,0,1,595
474,1,2,47,161
474,2,150,135,366
474,3,673,205,1556
500,1,6,303,91
500,2,260,304,301
500,3,914,304,576
521,1,6,187,1274
521,3,592,187,1031
204,1,1,1,1291
204,2,68,69,823
56,1,6,100,1215
56,2,5,156,52
56,3,12,298,858
507,1,6,528,396
507,2,389,492,116
507,3,443,180,1439
32,1,13,293,1465
180,1,6,528,1032
180,2,138,127,1647
180,3,438,125,1494
183,1,9,204,1630
183,2,91,89,592
490,1,8,498,866
490,2,186,479,1566
490,3,1331,497,54
519,1,6,302,374
519,2,385,484,304
519,3,861,483,1100
194,1,6,318,383
194,2,190,435,773
194,3,294,499,266
23,1,6,489,1416
23,2,26,182,481
189,1,1,511,1154
189,2,176,169,1526
189,3,576,169,982
495,1,2,269,1134
461,1,6,221,249
461,3,66,156,1033
185,1,7,12,434
185,2,186,490,1396
511,1,1,50,733
511,2,192,199,735
511,3,657,199,1540
166,1,6,125,238
166,2,174,165,1266
166,3,569,165,745
488,1,6,463,834
175,1,6,297,983
175,3,592,192,1306
70,1,2,503,916
70,2,69,293,1125
70,3,260,275,1314
486,1,6,531,1142
486,2,240,482,1610
486,3,456,131,326
133,1,8,216,1191
133,3,466,507,97
529,1,6,137,938
522,1,6,98,290
483,1,6,269,218
483,2,384,491,1413
483,3,861,484,354
216,1,2,261,1013
216,2,181,209,1578
216,3,710,293,458
523,1,6,519,747
523,3,294,194,47
193,1,6,469,906
435,1,13,193,363
435,2,190,194,339
435,3,294,499,623
59,1,8,481,282
432,1,12,463,380
463,1,6,486,472
463,2,136,124,761
209,1,2,194,980
209,2,181,216,1637
493,1,5,79,718
238,1,2,261,1163
238,2,83,100,1467
238,3,416,298,926
494,1,8,498,264
494,2,391,497,474
494,3,1331,497,717
131,1,2,524,1332
131,3,456,486,1039
22,1,6,98,902
503,1,2,1,807
503,3,643,435,955
87,1,6,496,135
87,3,315,298,533
506,1,6,125,163
506,3,1363,492,1431
491,1,8,498,916
491,2,384,483,1466
491,3,478,136,1405
468,1,13,508,347
528,1,13,504,339
317,1,6,193,829
517,1,6,318,1604
517,2,15,514,590
517,3,530,514,151
156,1,5,302,123
156,2,5,56,477
156,3,66,308,899
499,1,6,527,158
499,3,1365,492,35
195,1,9,298,1641
302,1,6,134,111
302,2,246,281,1024
258,1,6,357,401
258,2,68,69,1165
258,3,271,98,362
328,1,4,1016,1519
328,3,812,744,657
306,1,2,21,1561
875,1,6,114,1059
875,3,12,4,231
475,1,6,955,1177
475,2,381,1073,25
475,3,1324,1073,655
273,1,6,464,1629
273,3,282,76,906
1129,1,5,302,227
9,1,6,237,404
9,3,33,76,1485
276,1,6,216,453
276,3,416,238,724
127,1,6,59,1208
127,2,138,180,1009
127,3,282,273,1350
50,1,3,210,465
50,3,192,181,1626
129,1,8,1009,712
100,1,6,134,49
100,2,82,81,415
7,1,4,144,1114
7,2,9,168,131
7,3,25,250,1019
508,1,6,527,682
508,2,188,357,1651
744,1,6,20,128
744,3,812,328,463
298,1,3,190,944
298,2,258,546,1554
298,3,416,466,972
3,1,2,652,92
3,2,5,56,300
275,1,6,56,1342
275,3,260,70,1514
125,1,6,76,987
125,3,12,4,992
845,1,6,512,218
181,1,1,455,48
181,3,193,210,475
250,1,1,71,334
250,3,799,959,68
285,1,6,64,908
222,1,9,121,490
222,3,395,111,390
116,1,8,276,401
116,3,301,83,1043
